Specimen Collection Date,Age Group,New Confirmed Cases,Cumulative Confirmed Cases,Last Updated at
2020/05/08,71-80,0,122,06/30/2020 04:36:29 PM
2020/05/09,71-80,1,123,06/30/2020 04:36:29 PM
2020/05/10,71-80,0,123,06/30/2020 04:36:29 PM
2020/05/11,71-80,1,124,06/30/2020 04:36:29 PM
2020/05/12,71-80,6,130,06/30/2020 04:36:29 PM
2020/05/13,71-80,0,130,06/30/2020 04:36:29 PM
2020/05/14,71-80,1,131,06/30/2020 04:36:29 PM
2020/05/15,71-80,1,132,06/30/2020 04:36:29 PM
2020/05/16,71-80,0,132,06/30/2020 04:36:29 PM
2020/05/17,71-80,2,134,06/30/2020 04:36:29 PM
2020/05/18,71-80,2,136,06/30/2020 04:36:29 PM
2020/05/19,71-80,1,137,06/30/2020 04:36:29 PM
2020/05/20,71-80,0,137,06/30/2020 04:36:29 PM
2020/05/21,71-80,0,137,06/30/2020 04:36:29 PM
2020/05/22,71-80,1,138,06/30/2020 04:36:29 PM
2020/05/23,71-80,0,138,06/30/2020 04:36:29 PM
2020/05/24,71-80,1,139,06/30/2020 04:36:29 PM
2020/05/25,71-80,0,139,06/30/2020 04:36:29 PM
2020/05/26,71-80,2,141,06/30/2020 04:36:29 PM
2020/05/27,71-80,3,144,06/30/2020 04:36:29 PM
2020/05/28,71-80,0,144,06/30/2020 04:36:29 PM
2020/05/29,71-80,1,145,06/30/2020 04:36:29 PM
2020/05/30,71-80,0,145,06/30/2020 04:36:29 PM
2020/05/31,71-80,1,146,06/30/2020 04:36:29 PM
2020/06/01,71-80,3,149,06/30/2020 04:36:29 PM
2020/06/02,71-80,1,150,06/30/2020 04:36:29 PM
2020/06/03,71-80,2,152,06/30/2020 04:36:29 PM
2020/06/04,71-80,1,153,06/30/2020 04:36:29 PM
2020/06/05,71-80,1,154,06/30/2020 04:36:29 PM
2020/06/06,71-80,1,155,06/30/2020 04:36:29 PM
2020/06/07,71-80,0,155,06/30/2020 04:36:29 PM
2020/06/08,71-80,2,157,06/30/2020 04:36:29 PM
2020/06/09,71-80,2,159,06/30/2020 04:36:29 PM
2020/06/10,71-80,0,159,06/30/2020 04:36:29 PM
2020/06/11,71-80,0,159,06/30/2020 04:36:29 PM
2020/06/12,71-80,1,160,06/30/2020 04:36:29 PM
2020/06/13,71-80,0,160,06/30/2020 04:36:29 PM
2020/06/14,71-80,0,160,06/30/2020 04:36:29 PM
2020/06/15,71-80,0,160,06/30/2020 04:36:29 PM
2020/06/16,71-80,2,162,06/30/2020 04:36:29 PM
2020/06/17,71-80,2,164,06/30/2020 04:36:29 PM
2020/06/18,71-80,1,165,06/30/2020 04:36:29 PM
2020/06/19,71-80,2,167,06/30/2020 04:36:29 PM
2020/06/20,71-80,0,167,06/30/2020 04:36:29 PM
2020/06/21,71-80,0,167,06/30/2020 04:36:29 PM
2020/06/22,71-80,5,172,06/30/2020 04:36:29 PM
2020/06/23,71-80,3,175,06/30/2020 04:36:29 PM
2020/06/24,71-80,0,175,06/30/2020 04:36:29 PM
2020/06/25,71-80,4,179,06/30/2020 04:36:29 PM
2020/06/26,71-80,3,182,06/30/2020 04:36:29 PM
2020/06/27,71-80,1,183,06/30/2020 04:36:29 PM
2020/06/28,71-80,0,183,06/30/2020 04:36:29 PM
2020/03/10,31-40,3,5,06/30/2020 04:36:29 PM
2020/03/11,31-40,3,8,06/30/2020 04:36:29 PM
2020/03/12,31-40,1,9,06/30/2020 04:36:29 PM
2020/03/13,31-40,3,12,06/30/2020 04:36:29 PM
2020/03/14,31-40,2,14,06/30/2020 04:36:29 PM
2020/03/15,31-40,4,18,06/30/2020 04:36:29 PM
2020/03/16,31-40,15,33,06/30/2020 04:36:29 PM
2020/03/17,31-40,13,46,06/30/2020 04:36:29 PM
2020/03/18,31-40,4,50,06/30/2020 04:36:29 PM
2020/03/19,31-40,5,55,06/30/2020 04:36:29 PM
2020/03/20,31-40,8,63,06/30/2020 04:36:29 PM
2020/03/21,31-40,4,67,06/30/2020 04:36:29 PM
2020/03/22,31-40,2,69,06/30/2020 04:36:29 PM
2020/03/23,31-40,7,76,06/30/2020 04:36:29 PM
2020/03/24,31-40,14,90,06/30/2020 04:36:29 PM
2020/03/25,31-40,10,100,06/30/2020 04:36:29 PM
2020/03/26,31-40,8,108,06/30/2020 04:36:29 PM
2020/03/27,31-40,7,115,06/30/2020 04:36:29 PM
2020/03/28,31-40,2,117,06/30/2020 04:36:29 PM
2020/03/29,31-40,2,119,06/30/2020 04:36:29 PM
2020/03/30,31-40,8,127,06/30/2020 04:36:29 PM
2020/03/31,31-40,12,139,06/30/2020 04:36:29 PM
2020/04/01,31-40,7,146,06/30/2020 04:36:29 PM
2020/04/02,31-40,10,156,06/30/2020 04:36:29 PM
2020/04/03,31-40,9,165,06/30/2020 04:36:29 PM
2020/04/04,31-40,4,169,06/30/2020 04:36:29 PM
2020/04/05,31-40,10,179,06/30/2020 04:36:29 PM
2020/04/06,31-40,9,188,06/30/2020 04:36:29 PM
2020/04/07,31-40,11,199,06/30/2020 04:36:29 PM
2020/04/08,31-40,15,214,06/30/2020 04:36:29 PM
2020/04/09,31-40,11,225,06/30/2020 04:36:29 PM
2020/04/10,31-40,7,232,06/30/2020 04:36:29 PM
2020/04/11,31-40,8,240,06/30/2020 04:36:29 PM
2020/04/12,31-40,4,244,06/30/2020 04:36:29 PM
2020/04/13,31-40,6,250,06/30/2020 04:36:29 PM
2020/04/14,31-40,8,258,06/30/2020 04:36:29 PM
2020/04/15,31-40,11,269,06/30/2020 04:36:29 PM
2020/04/16,31-40,10,279,06/30/2020 04:36:29 PM
2020/04/17,31-40,12,291,06/30/2020 04:36:29 PM
2020/04/18,31-40,3,294,06/30/2020 04:36:29 PM
2020/04/19,31-40,5,299,06/30/2020 04:36:29 PM
2020/04/20,31-40,7,306,06/30/2020 04:36:29 PM
2020/04/21,31-40,4,310,06/30/2020 04:36:29 PM
2020/04/22,31-40,7,317,06/30/2020 04:36:29 PM
2020/04/23,31-40,10,327,06/30/2020 04:36:29 PM
2020/04/24,31-40,8,335,06/30/2020 04:36:29 PM
2020/04/25,31-40,6,341,06/30/2020 04:36:29 PM
2020/04/26,31-40,9,350,06/30/2020 04:36:29 PM
2020/04/27,31-40,7,357,06/30/2020 04:36:29 PM
2020/04/28,31-40,16,373,06/30/2020 04:36:29 PM
2020/04/29,31-40,8,381,06/30/2020 04:36:29 PM
2020/04/30,31-40,9,390,06/30/2020 04:36:29 PM
2020/05/01,31-40,11,401,06/30/2020 04:36:29 PM
2020/05/02,31-40,17,418,06/30/2020 04:36:29 PM
2020/05/03,31-40,5,423,06/30/2020 04:36:29 PM
2020/05/04,31-40,9,432,06/30/2020 04:36:29 PM
2020/05/05,31-40,12,444,06/30/2020 04:36:29 PM
2020/05/06,31-40,10,454,06/30/2020 04:36:29 PM
2020/05/07,31-40,11,465,06/30/2020 04:36:29 PM
2020/05/08,31-40,6,471,06/30/2020 04:36:29 PM
2020/05/09,31-40,2,473,06/30/2020 04:36:29 PM
2020/05/10,31-40,2,475,06/30/2020 04:36:29 PM
2020/05/11,31-40,11,486,06/30/2020 04:36:29 PM
2020/05/12,31-40,10,496,06/30/2020 04:36:29 PM
2020/05/13,31-40,9,505,06/30/2020 04:36:29 PM
2020/05/14,31-40,6,511,06/30/2020 04:36:29 PM
2020/05/15,31-40,14,525,06/30/2020 04:36:29 PM
2020/05/16,31-40,4,529,06/30/2020 04:36:29 PM
2020/05/17,31-40,4,533,06/30/2020 04:36:29 PM
2020/05/18,31-40,10,543,06/30/2020 04:36:29 PM
2020/05/19,31-40,3,546,06/30/2020 04:36:29 PM
2020/05/20,31-40,8,554,06/30/2020 04:36:29 PM
2020/05/21,31-40,2,556,06/30/2020 04:36:29 PM
2020/05/22,31-40,7,563,06/30/2020 04:36:29 PM
2020/05/23,31-40,3,566,06/30/2020 04:36:29 PM
2020/05/24,31-40,2,568,06/30/2020 04:36:29 PM
2020/05/25,31-40,1,569,06/30/2020 04:36:29 PM
2020/05/26,31-40,14,583,06/30/2020 04:36:29 PM
2020/05/27,31-40,10,593,06/30/2020 04:36:29 PM
2020/05/28,31-40,6,599,06/30/2020 04:36:29 PM
2020/05/29,31-40,8,607,06/30/2020 04:36:29 PM
2020/05/30,31-40,8,615,06/30/2020 04:36:29 PM
2020/05/31,31-40,9,624,06/30/2020 04:36:29 PM
2020/06/01,31-40,8,632,06/30/2020 04:36:29 PM
2020/06/02,31-40,7,639,06/30/2020 04:36:29 PM
2020/06/03,31-40,10,649,06/30/2020 04:36:29 PM
2020/06/04,31-40,9,658,06/30/2020 04:36:29 PM
2020/06/05,31-40,4,662,06/30/2020 04:36:29 PM
2020/06/06,31-40,2,664,06/30/2020 04:36:29 PM
2020/06/07,31-40,3,667,06/30/2020 04:36:29 PM
2020/06/08,31-40,4,671,06/30/2020 04:36:29 PM
2020/06/09,31-40,7,678,06/30/2020 04:36:29 PM
2020/06/10,31-40,2,680,06/30/2020 04:36:29 PM
2020/06/11,31-40,8,688,06/30/2020 04:36:29 PM
2020/06/12,31-40,8,696,06/30/2020 04:36:29 PM
2020/06/13,31-40,8,704,06/30/2020 04:36:29 PM
2020/06/14,31-40,5,709,06/30/2020 04:36:29 PM
2020/06/15,31-40,7,716,06/30/2020 04:36:29 PM
2020/06/16,31-40,6,722,06/30/2020 04:36:29 PM
2020/06/17,31-40,14,736,06/30/2020 04:36:29 PM
2020/06/18,31-40,12,748,06/30/2020 04:36:29 PM
2020/06/19,31-40,11,759,06/30/2020 04:36:29 PM
2020/06/20,31-40,9,768,06/30/2020 04:36:29 PM
2020/06/21,31-40,5,773,06/30/2020 04:36:29 PM
2020/06/22,31-40,19,792,06/30/2020 04:36:29 PM
2020/06/23,31-40,9,801,06/30/2020 04:36:29 PM
2020/06/24,31-40,9,810,06/30/2020 04:36:29 PM
2020/06/25,31-40,6,816,06/30/2020 04:36:29 PM
2020/06/26,31-40,13,829,06/30/2020 04:36:29 PM
2020/06/27,31-40,3,832,06/30/2020 04:36:29 PM
2020/06/28,31-40,1,833,06/30/2020 04:36:29 PM
2020/03/07,18-30,3,5,06/30/2020 04:36:29 PM
2020/03/08,18-30,0,5,06/30/2020 04:36:29 PM
2020/03/09,18-30,0,5,06/30/2020 04:36:29 PM
2020/03/10,18-30,0,5,06/30/2020 04:36:29 PM
2020/03/11,18-30,3,8,06/30/2020 04:36:29 PM
2020/03/12,18-30,0,8,06/30/2020 04:36:29 PM
2020/03/13,18-30,3,11,06/30/2020 04:36:29 PM
2020/03/14,18-30,4,15,06/30/2020 04:36:29 PM
2020/03/15,18-30,2,17,06/30/2020 04:36:29 PM
2020/03/16,18-30,2,19,06/30/2020 04:36:29 PM
2020/03/17,18-30,4,23,06/30/2020 04:36:29 PM
2020/03/18,18-30,6,29,06/30/2020 04:36:29 PM
2020/03/19,18-30,3,32,06/30/2020 04:36:29 PM
2020/03/20,18-30,8,40,06/30/2020 04:36:29 PM
2020/03/21,18-30,2,42,06/30/2020 04:36:29 PM
2020/03/22,18-30,6,48,06/30/2020 04:36:29 PM
2020/03/23,18-30,7,55,06/30/2020 04:36:29 PM
2020/03/24,18-30,8,63,06/30/2020 04:36:29 PM
2020/03/25,18-30,6,69,06/30/2020 04:36:29 PM
2020/03/26,18-30,6,75,06/30/2020 04:36:29 PM
2020/03/27,18-30,4,79,06/30/2020 04:36:29 PM
2020/03/28,18-30,4,83,06/30/2020 04:36:29 PM
2020/03/29,18-30,2,85,06/30/2020 04:36:29 PM
2020/03/30,18-30,7,92,06/30/2020 04:36:29 PM
2020/03/31,18-30,10,102,06/30/2020 04:36:29 PM
2020/04/01,18-30,10,112,06/30/2020 04:36:29 PM
2020/04/02,18-30,7,119,06/30/2020 04:36:29 PM
2020/04/03,18-30,3,122,06/30/2020 04:36:29 PM
2020/04/04,18-30,2,124,06/30/2020 04:36:29 PM
2020/04/05,18-30,9,133,06/30/2020 04:36:29 PM
2020/04/06,18-30,9,142,06/30/2020 04:36:29 PM
2020/04/07,18-30,11,153,06/30/2020 04:36:29 PM
2020/04/08,18-30,6,159,06/30/2020 04:36:29 PM
2020/04/09,18-30,13,172,06/30/2020 04:36:29 PM
2020/04/10,18-30,2,174,06/30/2020 04:36:29 PM
2020/04/11,18-30,5,179,06/30/2020 04:36:29 PM
2020/04/12,18-30,3,182,06/30/2020 04:36:29 PM
2020/04/13,18-30,4,186,06/30/2020 04:36:29 PM
2020/04/14,18-30,4,190,06/30/2020 04:36:29 PM
2020/04/15,18-30,3,193,06/30/2020 04:36:29 PM
2020/04/16,18-30,6,199,06/30/2020 04:36:29 PM
2020/04/17,18-30,6,205,06/30/2020 04:36:29 PM
2020/04/18,18-30,1,206,06/30/2020 04:36:29 PM
2020/04/19,18-30,2,208,06/30/2020 04:36:29 PM
2020/04/20,18-30,6,214,06/30/2020 04:36:29 PM
2020/04/21,18-30,7,221,06/30/2020 04:36:29 PM
2020/04/22,18-30,3,224,06/30/2020 04:36:29 PM
2020/04/23,18-30,5,229,06/30/2020 04:36:29 PM
2020/04/24,18-30,8,237,06/30/2020 04:36:29 PM
2020/04/25,18-30,3,240,06/30/2020 04:36:29 PM
2020/04/26,18-30,7,247,06/30/2020 04:36:29 PM
2020/04/27,18-30,9,256,06/30/2020 04:36:29 PM
2020/04/28,18-30,23,279,06/30/2020 04:36:29 PM
2020/04/29,18-30,14,293,06/30/2020 04:36:29 PM
2020/04/30,18-30,11,304,06/30/2020 04:36:29 PM
2020/05/01,18-30,2,306,06/30/2020 04:36:29 PM
2020/05/02,18-30,10,316,06/30/2020 04:36:29 PM
2020/05/03,18-30,0,316,06/30/2020 04:36:29 PM
2020/05/04,18-30,9,325,06/30/2020 04:36:29 PM
2020/05/05,18-30,10,335,06/30/2020 04:36:29 PM
2020/05/06,18-30,13,348,06/30/2020 04:36:29 PM
2020/05/07,18-30,2,350,06/30/2020 04:36:29 PM
2020/05/08,18-30,6,356,06/30/2020 04:36:29 PM
2020/05/09,18-30,2,358,06/30/2020 04:36:29 PM
2020/05/10,18-30,2,360,06/30/2020 04:36:29 PM
2020/05/11,18-30,3,363,06/30/2020 04:36:29 PM
2020/05/12,18-30,7,370,06/30/2020 04:36:29 PM
2020/05/13,18-30,6,376,06/30/2020 04:36:29 PM
2020/05/14,18-30,10,386,06/30/2020 04:36:29 PM
2020/05/15,18-30,4,390,06/30/2020 04:36:29 PM
2020/05/16,18-30,0,390,06/30/2020 04:36:29 PM
2020/05/17,18-30,2,392,06/30/2020 04:36:29 PM
2020/05/18,18-30,11,403,06/30/2020 04:36:29 PM
2020/05/19,18-30,12,415,06/30/2020 04:36:29 PM
2020/05/20,18-30,8,423,06/30/2020 04:36:29 PM
2020/05/21,18-30,8,431,06/30/2020 04:36:29 PM
2020/05/22,18-30,11,442,06/30/2020 04:36:29 PM
2020/05/23,18-30,6,448,06/30/2020 04:36:29 PM
2020/05/24,18-30,4,452,06/30/2020 04:36:29 PM
2020/05/25,18-30,4,456,06/30/2020 04:36:29 PM
2020/05/26,18-30,10,466,06/30/2020 04:36:29 PM
2020/05/27,18-30,6,472,06/30/2020 04:36:29 PM
2020/05/28,18-30,5,477,06/30/2020 04:36:29 PM
2020/05/29,18-30,8,485,06/30/2020 04:36:29 PM
2020/05/30,18-30,7,492,06/30/2020 04:36:29 PM
2020/05/31,18-30,5,497,06/30/2020 04:36:29 PM
2020/06/01,18-30,12,509,06/30/2020 04:36:29 PM
2020/06/02,18-30,9,518,06/30/2020 04:36:29 PM
2020/06/03,18-30,8,526,06/30/2020 04:36:29 PM
2020/06/04,18-30,11,537,06/30/2020 04:36:29 PM
2020/06/05,18-30,7,544,06/30/2020 04:36:29 PM
2020/06/06,18-30,2,546,06/30/2020 04:36:29 PM
2020/06/07,18-30,6,552,06/30/2020 04:36:29 PM
2020/06/08,18-30,13,565,06/30/2020 04:36:29 PM
2020/06/09,18-30,6,571,06/30/2020 04:36:29 PM
2020/06/10,18-30,6,577,06/30/2020 04:36:29 PM
2020/06/11,18-30,4,581,06/30/2020 04:36:29 PM
2020/06/12,18-30,3,584,06/30/2020 04:36:29 PM
2020/06/13,18-30,5,589,06/30/2020 04:36:29 PM
2020/06/14,18-30,5,594,06/30/2020 04:36:29 PM
2020/06/15,18-30,10,604,06/30/2020 04:36:29 PM
2020/06/16,18-30,17,621,06/30/2020 04:36:29 PM
2020/06/17,18-30,14,635,06/30/2020 04:36:29 PM
2020/06/18,18-30,14,649,06/30/2020 04:36:29 PM
2020/06/19,18-30,12,661,06/30/2020 04:36:29 PM
2020/06/20,18-30,14,675,06/30/2020 04:36:29 PM
2020/06/21,18-30,16,691,06/30/2020 04:36:29 PM
2020/06/22,18-30,25,716,06/30/2020 04:36:29 PM
2020/06/23,18-30,9,725,06/30/2020 04:36:29 PM
2020/06/24,18-30,15,740,06/30/2020 04:36:29 PM
2020/06/25,18-30,17,757,06/30/2020 04:36:29 PM
2020/06/26,18-30,15,772,06/30/2020 04:36:29 PM
2020/06/27,18-30,8,780,06/30/2020 04:36:29 PM
2020/06/28,18-30,3,783,06/30/2020 04:36:29 PM
2020/03/18,81+,1,5,06/30/2020 04:36:29 PM
2020/03/19,81+,1,6,06/30/2020 04:36:29 PM
2020/03/20,81+,0,6,06/30/2020 04:36:29 PM
2020/03/21,81+,1,7,06/30/2020 04:36:29 PM
2020/03/22,81+,2,9,06/30/2020 04:36:29 PM
